"Plot Title: 20827226"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20827226, SEN S/N: 20827226)","Temp, °C (LGR S/N: 20827226, SEN S/N: 20827226)","Coupler Detached (LGR S/N: 20827226)","Coupler Attached (LGR S/N: 20827226)","Host Connected (LGR S/N: 20827226)","Stopped (LGR S/N: 20827226)","End Of File (LGR S/N: 20827226)"
1,21/11/21 02:22:44  PM,11.33,10.56,,,,,
2,21/11/21 02:22:51  PM,,,Logged,,,,
3,21/11/21 02:37:44  PM,3.71,4.70,,,,,
4,21/11/21 02:52:44  PM,2.02,1.40,,,,,
5,21/11/21 03:07:44  PM,1.31,1.68,,,,,
6,21/11/21 03:22:44  PM,1.55,1.80,,,,,
7,21/11/21 03:37:44  PM,1.04,2.66,,,,,
8,21/11/21 03:52:44  PM,0.82,2.90,,,,,
9,21/11/21 04:07:44  PM,0.73,3.16,,,,,
10,21/11/21 04:22:44  PM,0.55,3.34,,,,,
11,21/11/21 04:37:44  PM,0.46,3.48,,,,,
12,21/11/21 04:52:44  PM,0.42,3.66,,,,,
13,21/11/21 05:07:44  PM,0.72,4.06,,,,,
14,21/11/21 05:22:44  PM,0.77,4.36,,,,,
15,21/11/21 05:37:44  PM,0.69,4.50,,,,,
16,21/11/21 05:52:44  PM,0.59,4.62,,,,,
17,21/11/21 06:07:44  PM,0.45,4.76,,,,,
18,21/11/21 06:22:44  PM,0.31,4.90,,,,,
19,21/11/21 06:37:44  PM,0.17,5.02,,,,,
20,21/11/21 06:52:44  PM,0.09,5.18,,,,,
21,21/11/21 07:07:44  PM,0.04,5.30,,,,,
22,21/11/21 07:22:44  PM,0.02,5.42,,,,,
23,21/11/21 07:37:44  PM,0.01,5.54,,,,,
24,21/11/21 07:52:44  PM,0.01,5.64,,,,,
25,21/11/21 08:07:44  PM,0.01,5.74,,,,,
26,21/11/21 08:22:44  PM,0.01,5.84,,,,,
27,21/11/21 08:37:44  PM,0.00,5.94,,,,,
28,21/11/21 08:52:44  PM,0.00,6.02,,,,,
29,21/11/21 09:07:44  PM,0.00,6.08,,,,,
30,21/11/21 09:22:44  PM,0.00,6.16,,,,,
31,21/11/21 09:37:44  PM,0.00,6.24,,,,,
32,21/11/21 09:52:44  PM,0.00,6.30,,,,,
33,21/11/21 10:07:44  PM,0.00,6.36,,,,,
34,21/11/21 10:22:44  PM,0.00,6.42,,,,,
35,21/11/21 10:37:44  PM,0.00,6.46,,,,,
36,21/11/21 10:52:44  PM,0.00,6.52,,,,,
37,21/11/21 11:07:44  PM,0.00,6.58,,,,,
38,21/11/21 11:22:44  PM,0.00,6.62,,,,,
39,21/11/21 11:37:44  PM,0.00,6.66,,,,,
40,21/11/21 11:52:44  PM,0.00,6.72,,,,,
41,21/11/22 12:07:44  AM,0.00,6.76,,,,,
42,21/11/22 12:22:44  AM,0.00,6.82,,,,,
43,21/11/22 12:37:44  AM,0.00,6.86,,,,,
44,21/11/22 12:52:44  AM,0.00,6.90,,,,,
45,21/11/22 01:07:44  AM,0.00,6.96,,,,,
46,21/11/22 01:22:44  AM,0.00,7.00,,,,,
47,21/11/22 01:37:44  AM,0.00,7.06,,,,,
48,21/11/22 01:52:44  AM,0.00,7.10,,,,,
49,21/11/22 02:07:44  AM,0.00,7.14,,,,,
50,21/11/22 02:22:44  AM,0.00,7.18,,,,,
51,21/11/22 02:37:44  AM,0.00,7.24,,,,,
52,21/11/22 02:52:44  AM,0.00,7.28,,,,,
53,21/11/22 03:07:44  AM,0.00,7.32,,,,,
54,21/11/22 03:22:44  AM,0.00,7.36,,,,,
55,21/11/22 03:37:44  AM,0.00,7.40,,,,,
56,21/11/22 03:52:44  AM,0.00,7.44,,,,,
57,21/11/22 04:07:44  AM,0.00,7.48,,,,,
58,21/11/22 04:22:44  AM,0.00,7.52,,,,,
59,21/11/22 04:37:44  AM,0.00,7.56,,,,,
60,21/11/22 04:52:44  AM,0.00,7.60,,,,,
61,21/11/22 05:07:44  AM,0.00,7.64,,,,,
62,21/11/22 05:22:44  AM,0.00,7.68,,,,,
63,21/11/22 05:37:44  AM,0.00,7.72,,,,,
64,21/11/22 05:52:44  AM,0.00,7.76,,,,,
65,21/11/22 06:07:44  AM,0.00,7.80,,,,,
66,21/11/22 06:22:44  AM,0.00,7.84,,,,,
67,21/11/22 06:37:44  AM,0.00,7.88,,,,,
68,21/11/22 06:52:44  AM,0.00,7.92,,,,,
69,21/11/22 07:07:44  AM,0.00,7.96,,,,,
70,21/11/22 07:22:44  AM,0.00,8.00,,,,,
71,21/11/22 07:37:44  AM,0.00,8.04,,,,,
72,21/11/22 07:52:44  AM,0.00,8.08,,,,,
73,21/11/22 08:07:44  AM,0.00,8.12,,,,,
74,21/11/22 08:22:44  AM,0.00,8.16,,,,,
75,21/11/22 08:37:44  AM,0.00,8.20,,,,,
76,21/11/22 08:52:44  AM,0.00,8.24,,,,,
77,21/11/22 09:07:44  AM,0.00,8.28,,,,,
78,21/11/22 09:22:44  AM,0.00,8.34,,,,,
79,21/11/22 09:37:44  AM,0.00,8.38,,,,,
80,21/11/22 09:52:44  AM,0.00,8.42,,,,,
81,21/11/22 10:07:44  AM,0.00,8.46,,,,,
82,21/11/22 10:22:44  AM,0.00,8.52,,,,,
83,21/11/22 10:37:44  AM,0.00,8.56,,,,,
84,21/11/22 10:52:44  AM,0.00,8.62,,,,,
85,21/11/22 11:07:44  AM,0.00,8.66,,,,,
86,21/11/22 11:22:44  AM,0.00,8.72,,,,,
87,21/11/22 11:37:44  AM,0.00,8.76,,,,,
88,21/11/22 11:52:44  AM,0.00,8.82,,,,,
89,21/11/22 12:07:44  PM,0.00,8.86,,,,,
90,21/11/22 12:22:44  PM,0.00,8.92,,,,,
91,21/11/22 12:37:44  PM,11.64,9.22,,,,,
92,21/11/22 12:52:44  PM,11.32,10.86,,,,,
93,21/11/22 01:07:44  PM,10.79,12.72,,,,,
94,21/11/22 01:22:44  PM,9.15,19.42,,,,,
95,21/11/22 01:37:44  PM,8.78,20.52,,,,,
96,21/11/22 01:52:44  PM,8.81,20.66,,,,,
97,21/11/22 02:07:44  PM,8.82,20.64,,,,,
98,21/11/22 02:22:44  PM,8.83,20.54,,,,,
99,21/11/22 02:37:44  PM,8.84,20.50,,,,,
100,21/11/22 02:52:44  PM,8.85,20.48,,,,,
101,21/11/22 03:07:44  PM,8.86,20.44,,,,,
102,21/11/22 03:22:44  PM,8.85,20.46,,,,,
103,21/11/22 03:37:44  PM,8.86,20.46,,,,,
104,21/11/22 03:52:44  PM,8.85,20.44,,,,,
