Date and Time (UTC),Receiver,Description,Data,Units
2021-07-08 13:44:37,VR2AR-549340,Initialization,PERENNIA FOOD & AGRICULTURE INC,
2021-07-08 13:44:37,VR2AR-549340,Data Upload,VR2AR_549340_20220623_1.vrl,
2021-07-08 13:44:37,VR2AR-549340,PC Time,2021-07-08 10:44:37 UTC-03:00,
2021-07-08 13:44:37,VR2AR-549340,69 kHz decoding map,MAP-114,
2021-07-08 13:44:37,VR2AR-549340,69 kHz blanking interval,260,ms
2021-07-08 14:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 14:00:00,VR2AR-549340,Hourly Pings on 69 kHz,14,
2021-07-08 14:00:00,VR2AR-549340,Hourly Detections on 69 kHz,1,
2021-07-08 14:00:00,VR2AR-549340,Tilt angle,88,°
2021-07-08 14:00:00,VR2AR-549340,Seawater depth,0,m
2021-07-08 14:00:00,VR2AR-549340,Temperature,22.0,°C
2021-07-08 14:00:00,VR2AR-549340,Average noise,192.6,mV
2021-07-08 15:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 15:00:00,VR2AR-549340,Hourly Pings on 69 kHz,17,
2021-07-08 15:00:00,VR2AR-549340,Hourly Detections on 69 kHz,0,
2021-07-08 15:00:00,VR2AR-549340,Tilt angle,0,°
2021-07-08 15:00:00,VR2AR-549340,Seawater depth,7,m
2021-07-08 15:00:00,VR2AR-549340,Temperature,17.2,°C
2021-07-08 15:00:00,VR2AR-549340,Average noise,226.4,mV
2021-07-08 16:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 16:00:00,VR2AR-549340,Hourly Pings on 69 kHz,0,
2021-07-08 16:00:00,VR2AR-549340,Hourly Detections on 69 kHz,0,
2021-07-08 16:00:00,VR2AR-549340,Tilt angle,1,°
2021-07-08 16:00:00,VR2AR-549340,Seawater depth,7,m
2021-07-08 16:00:00,VR2AR-549340,Temperature,15.6,°C
2021-07-08 16:00:00,VR2AR-549340,Average noise,219.4,mV
2021-07-08 17:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 17:00:00,VR2AR-549340,Hourly Pings on 69 kHz,0,
2021-07-08 17:00:00,VR2AR-549340,Hourly Detections on 69 kHz,0,
2021-07-08 17:00:00,VR2AR-549340,Tilt angle,1,°
2021-07-08 17:00:00,VR2AR-549340,Seawater depth,6,m
2021-07-08 17:00:00,VR2AR-549340,Temperature,15.9,°C
2021-07-08 17:00:00,VR2AR-549340,Average noise,227.5,mV
2021-07-08 18:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 18:00:00,VR2AR-549340,Hourly Pings on 69 kHz,0,
2021-07-08 18:00:00,VR2AR-549340,Hourly Detections on 69 kHz,0,
2021-07-08 18:00:00,VR2AR-549340,Tilt angle,1,°
2021-07-08 18:00:00,VR2AR-549340,Seawater depth,6,m
2021-07-08 18:00:00,VR2AR-549340,Temperature,16.7,°C
2021-07-08 18:00:00,VR2AR-549340,Average noise,205.1,mV
2021-07-08 19:00:00,VR2AR-549340,Battery,3.5,V
2021-07-08 19:00:00,VR2AR-549340,Hourly Pings on 69 kHz,0,
2021-07-08 19:00:00,VR2AR-549340,Hourly Detections on 69 kHz,0,
