"qc_test","variable","county","month","sensor_type","threshold","threshold_value"
"grossrange","dissolved_oxygen_uncorrected_mg_per_l",NA,NA,"hobo","sensor_min",0
"grossrange","dissolved_oxygen_uncorrected_mg_per_l",NA,NA,"hobo","sensor_max",30
"grossrange","dissolved_oxygen_percent_saturation",NA,NA,"aquameasure","sensor_min",0
"grossrange","dissolved_oxygen_percent_saturation",NA,NA,"aquameasure","sensor_max",150
"grossrange","salinity_psu",NA,NA,"aquameasure","sensor_min",0
"grossrange","salinity_psu",NA,NA,"aquameasure","sensor_max",40
"grossrange","sensor_depth_measured_m",NA,NA,"vr2ar","sensor_min",0
"grossrange","sensor_depth_measured_m",NA,NA,"vr2ar","sensor_max",500
"grossrange","sensor_depth_measured_m",NA,NA,"aquameasure","sensor_min",0
"grossrange","sensor_depth_measured_m",NA,NA,"aquameasure","sensor_max",100
"grossrange","temperature_degree_c",NA,NA,"aquameasure","sensor_min",-5
"grossrange","temperature_degree_c",NA,NA,"aquameasure","sensor_max",35
"grossrange","temperature_degree_c",NA,NA,"hobo","sensor_min",-40
"grossrange","temperature_degree_c",NA,NA,"hobo","sensor_max",70
"grossrange","temperature_degree_c",NA,NA,"vr2ar","sensor_min",-5
"grossrange","temperature_degree_c",NA,NA,"vr2ar","sensor_max",40
"grossrange","temperature_degree_c",NA,NA,"tidbit","sensor_min",-20
"grossrange","temperature_degree_c",NA,NA,"tidbit","sensor_max",50
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,1,NA,"season_min",11.203
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,1,NA,"season_max",14.109
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,2,NA,"season_min",11.747
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,2,NA,"season_max",15.043
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,3,NA,"season_min",11.394
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,3,NA,"season_max",15.675
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,4,NA,"season_min",11.325
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,4,NA,"season_max",15.396
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,5,NA,"season_min",11.289
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,5,NA,"season_max",14.279
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,6,NA,"season_min",9.203
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,6,NA,"season_max",15.194
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,7,NA,"season_min",8.696
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,7,NA,"season_max",15.134
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,8,NA,"season_min",7.933
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,8,NA,"season_max",15.647
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,9,NA,"season_min",7.246
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,9,NA,"season_max",12.034
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,10,NA,"season_min",7.794
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,10,NA,"season_max",10.288
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,11,NA,"season_min",10.489
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,11,NA,"season_max",11.806
"climatology","dissolved_oxygen_uncorrected_mg_per_l",NA,12,NA,"season_min",10.241
